iteration,labelled_sample_counts,accuracy_scores,auc_scores,featurespace
0,237,0.4930118798043326,0.4961565338923829,morgan_fingerprint
1,238,0.5241090146750524,0.5157232704402516,morgan_fingerprint
2,239,0.5118798043326345,0.5338923829489867,morgan_fingerprint
3,240,0.48672257162823196,0.5220125786163521,morgan_fingerprint
4,241,0.4961565338923829,0.5401816911250873,morgan_fingerprint
5,242,0.5209643605870021,0.5359888190076869,morgan_fingerprint
6,243,0.5115303983228512,0.5527603074772887,morgan_fingerprint
7,244,0.5300489168413697,0.5380852550663872,morgan_fingerprint
8,245,0.5394828791055206,0.5695317959468902,morgan_fingerprint
9,246,0.5300489168413697,0.5723270440251572,morgan_fingerprint
10,247,0.5234102026554857,0.5506638714185883,morgan_fingerprint
11,248,0.5394828791055206,0.5779175401816912,morgan_fingerprint
12,249,0.53319357092942,0.5604472396925226,morgan_fingerprint
13,250,0.5422781271837875,0.5534591194968553,morgan_fingerprint
14,251,0.5583508036338225,0.5653389238294898,morgan_fingerprint
15,252,0.56743535988819,0.5723270440251572,morgan_fingerprint
16,253,0.5859538784067085,0.5821104122990914,morgan_fingerprint
17,254,0.5670859538784067,0.562543675751223,morgan_fingerprint
18,255,0.5580013976240391,0.5758211041229909,morgan_fingerprint
19,256,0.5583508036338225,0.5883997204751921,morgan_fingerprint
20,257,0.493361285814116,0.562543675751223,morgan_fingerprint
21,258,0.493361285814116,0.5667365478686234,morgan_fingerprint
22,259,0.5517120894479385,0.5786163522012578,morgan_fingerprint
23,260,0.5048916841369672,0.5653389238294899,morgan_fingerprint
24,261,0.493361285814116,0.5485674353598882,morgan_fingerprint
25,262,0.5027952480782669,0.5485674353598882,morgan_fingerprint
26,263,0.5307477288609364,0.5450733752620545,morgan_fingerprint
27,264,0.5307477288609364,0.5499650593990216,morgan_fingerprint
28,265,0.5234102026554857,0.5443745632424877,morgan_fingerprint
29,266,0.5485674353598882,0.5632424877707898,morgan_fingerprint
30,267,0.5300489168413697,0.5576519916142557,morgan_fingerprint
31,268,0.5209643605870021,0.5387840670859538,morgan_fingerprint
32,269,0.5765199161425576,0.6058700209643606,morgan_fingerprint
33,270,0.5300489168413697,0.5534591194968553,morgan_fingerprint
34,271,0.5024458420684835,0.5345911949685535,morgan_fingerprint
35,272,0.5580013976240391,0.53319357092942,morgan_fingerprint
36,273,0.5209643605870021,0.5290006988120195,morgan_fingerprint
