iteration,labelled_sample_counts,accuracy_scores,auc_scores,featurespace
0,237,0.4930118798043326,0.4961565338923829,morgan_fingerprint
1,238,0.48322851153039836,0.47938504542278126,morgan_fingerprint
2,239,0.49580712788259956,0.5045422781271838,morgan_fingerprint
3,240,0.4930118798043326,0.48427672955974843,morgan_fingerprint
4,241,0.48357791754018165,0.5094339622641509,morgan_fingerprint
5,242,0.49580712788259956,0.5045422781271838,morgan_fingerprint
6,243,0.5146750524109014,0.5066387141858839,morgan_fingerprint
7,244,0.4926624737945493,0.49615653389238296,morgan_fingerprint
8,245,0.5017470300489169,0.5101327742837177,morgan_fingerprint
9,246,0.5115303983228512,0.5241090146750524,morgan_fingerprint
10,247,0.5111809923130678,0.5199161425576521,morgan_fingerprint
11,248,0.4926624737945493,0.5115303983228512,morgan_fingerprint
12,249,0.4643605870020964,0.493361285814116,morgan_fingerprint
13,250,0.5020964360587002,0.5157232704402515,morgan_fingerprint
14,251,0.4741439552760307,0.5108315863032844,morgan_fingerprint
15,252,0.49231306778476586,0.503843466107617,morgan_fingerprint
16,253,0.5108315863032844,0.5653389238294898,morgan_fingerprint
17,254,0.510482180293501,0.5499650593990216,morgan_fingerprint
18,255,0.47658979734451434,0.4989517819706499,morgan_fingerprint
19,256,0.5328441649196366,0.5248078266946191,morgan_fingerprint
20,257,0.5387840670859538,0.5695317959468902,morgan_fingerprint
21,258,0.5482180293501048,0.5583508036338225,morgan_fingerprint
22,259,0.5108315863032844,0.5415793151642208,morgan_fingerprint
23,260,0.519916142557652,0.549266247379455,morgan_fingerprint
24,261,0.4954577218728162,0.5164220824598182,morgan_fingerprint
25,262,0.49580712788259956,0.49545772187281617,morgan_fingerprint
26,263,0.5146750524109014,0.49825296995108315,morgan_fingerprint
27,264,0.48322851153039836,0.5296995108315863,morgan_fingerprint
28,265,0.4828791055206149,0.5290006988120195,morgan_fingerprint
29,266,0.49510831586303283,0.5010482180293501,morgan_fingerprint
30,267,0.44549266247379454,0.5115303983228512,morgan_fingerprint
31,268,0.5139762403913347,0.5017470300489169,morgan_fingerprint
32,269,0.44549266247379454,0.5310971348707197,morgan_fingerprint
33,270,0.46750524109014674,0.48777078965758214,morgan_fingerprint
34,271,0.5143256464011181,0.48846960167714887,morgan_fingerprint
35,272,0.46820405310971347,0.5059399021663173,morgan_fingerprint
