Sample_Counts,Accuracy_Scores,AUC_Scores,featurespace
860,0.6134075251722311,0.6332803391626921,mordred_descriptors
861,0.6291202967673556,0.6350291467938527,mordred_descriptors
862,0.5927397986221515,0.6313195548489665,mordred_descriptors
863,0.6101483836777954,0.6374668786433493,mordred_descriptors
864,0.6122151563328033,0.6446210916799151,mordred_descriptors
865,0.5998410174880764,0.6383677795442502,mordred_descriptors
866,0.5986486486486486,0.6314520402755697,mordred_descriptors
867,0.6296237413884473,0.6270535241123476,mordred_descriptors
868,0.6155537890832008,0.6449920508744039,mordred_descriptors
869,0.6144144144144144,0.63404875463699,mordred_descriptors
870,0.6025437201907791,0.6411499735029147,mordred_descriptors
871,0.6074456809750928,0.6325914149443561,mordred_descriptors
872,0.6220190779014309,0.6331213566507684,mordred_descriptors
873,0.598145204027557,0.6347641759406465,mordred_descriptors
874,0.6274244833068363,0.6434817170111288,mordred_descriptors
875,0.5905405405405406,0.6306836248012719,mordred_descriptors
876,0.6426338102808691,0.640381558028617,mordred_descriptors
877,0.6247217806041336,0.6301006889242183,mordred_descriptors
878,0.6139109697933227,0.6217541070482249,mordred_descriptors
879,0.5931107578166401,0.6225755166931638,mordred_descriptors
880,0.5958134605193428,0.6099629040805512,mordred_descriptors
881,0.6051139374668786,0.625172231054584,mordred_descriptors
882,0.5868309485956544,0.6201112877583466,mordred_descriptors
883,0.6037360890302067,0.6329888712241655,mordred_descriptors
884,0.5907260201377849,0.6264175940646529,mordred_descriptors
885,0.5934287228404875,0.6225755166931638,mordred_descriptors
886,0.6247217806041336,0.6231584525702174,mordred_descriptors
887,0.5853206147323795,0.6241653418124007,mordred_descriptors
888,0.6188129305776364,0.6260731319554849,mordred_descriptors
889,0.6152358240593534,0.6270800211976684,mordred_descriptors
890,0.5743243243243243,0.6202967673555909,mordred_descriptors
891,0.6042395336512985,0.6209591944886063,mordred_descriptors
892,0.6188129305776364,0.63232644409115,mordred_descriptors
893,0.6200052994170642,0.6249072602013779,mordred_descriptors
894,0.5998410174880764,0.6200052994170642,mordred_descriptors
895,0.6052994170641229,0.6211446740858506,mordred_descriptors
896,0.5819289878113407,0.6249072602013779,mordred_descriptors
897,0.5897191308956015,0.6137254901960784,mordred_descriptors
898,0.6000264970853206,0.6153683094859566,mordred_descriptors
899,0.6020932697403285,0.6091149973502915,mordred_descriptors
900,0.6042925278219395,0.6157657657657658,mordred_descriptors
901,0.5978272390037096,0.6219925808161103,mordred_descriptors
902,0.609830418653948,0.6199258081611023,mordred_descriptors
903,0.5976947535771066,0.6197668256491787,mordred_descriptors
904,0.6210121886592475,0.6232909379968203,mordred_descriptors
905,0.6173025967143615,0.6303391626921039,mordred_descriptors
906,0.6303126656067832,0.6402755696873343,mordred_descriptors
907,0.5880233174350822,0.6249337572866985,mordred_descriptors
908,0.5924218335983042,0.6203232644409116,mordred_descriptors
909,0.5870164281928988,0.6221250662427134,mordred_descriptors
910,0.5941176470588235,0.6215156332803391,mordred_descriptors
911,0.5907260201377849,0.618574456809751,mordred_descriptors
912,0.6205087440381558,0.6302066772655008,mordred_descriptors
913,0.6152358240593534,0.6255696873343932,mordred_descriptors
914,0.6103338632750397,0.6371224165341811,mordred_descriptors
915,0.6049284578696343,0.6278749337572868,mordred_descriptors
916,0.6223370429252782,0.6224695283518813,mordred_descriptors
917,0.5936142024377318,0.6146793852676206,mordred_descriptors
918,0.6027291997880233,0.617885532591415,mordred_descriptors
919,0.6002119766825649,0.6207207207207206,mordred_descriptors
920,0.5816110227874933,0.623237943826179,mordred_descriptors
921,0.5745098039215686,0.6105723370429254,mordred_descriptors
922,0.597323794382618,0.6226020137784843,mordred_descriptors
923,0.579915209326974,0.6164016958134605,mordred_descriptors
924,0.6032856385797563,0.6181505034446211,mordred_descriptors
925,0.5897191308956015,0.624006359300477,mordred_descriptors
926,0.6037890832008479,0.6134870164281929,mordred_descriptors
927,0.5723105458399576,0.6180180180180181,mordred_descriptors
928,0.5892156862745098,0.6278484366719661,mordred_descriptors
929,0.5961844197138315,0.6251192368839429,mordred_descriptors
930,0.5887122416534181,0.62284048754637,mordred_descriptors
931,0.597323794382618,0.6272919978802332,mordred_descriptors
932,0.5978802331743508,0.6242713301536832,mordred_descriptors
933,0.60818759936407,0.6267885532591415,mordred_descriptors
934,0.6039215686274509,0.6234764175940646,mordred_descriptors
935,0.6091944886062532,0.6198198198198199,mordred_descriptors
936,0.5914149443561209,0.6243773184949657,mordred_descriptors
937,0.5978272390037096,0.619051404345522,mordred_descriptors
938,0.6064917859035506,0.6199523052464229,mordred_descriptors
939,0.5863804981452041,0.6251192368839428,mordred_descriptors
940,0.588579756226815,0.6095389507154212,mordred_descriptors
941,0.5853736089030207,0.6164811870694223,mordred_descriptors
942,0.5944886062533121,0.625384207737149,mordred_descriptors
943,0.5838102808691044,0.6140699523052464,mordred_descriptors
944,0.5680975092739798,0.6067832538420774,mordred_descriptors
945,0.5904080551139375,0.6243773184949655,mordred_descriptors
946,0.5844992050874405,0.6060943296237413,mordred_descriptors
947,0.6032856385797563,0.6120561738208797,mordred_descriptors
948,0.5795972443031266,0.6007949125596185,mordred_descriptors
949,0.6037890832008479,0.6305246422893482,mordred_descriptors
950,0.578404875463699,0.6126921038685745,mordred_descriptors
951,0.5902755696873344,0.6151033386327505,mordred_descriptors
952,0.5948065712771595,0.6154742978272391,mordred_descriptors
953,0.6005829358770536,0.612374138844727,mordred_descriptors
954,0.6113937466878643,0.6202967673555909,mordred_descriptors
955,0.6037890832008479,0.6149443561208268,mordred_descriptors
956,0.5937996820349762,0.6189719130895601,mordred_descriptors
957,0.5902755696873344,0.6121356650768415,mordred_descriptors
958,0.6044780074191839,0.6255431902490726,mordred_descriptors
959,0.6120826709062003,0.6236354001059884,mordred_descriptors
960,0.609009009009009,0.6094859565447801,mordred_descriptors
961,0.6086910439851616,0.6130365659777425,mordred_descriptors
962,0.6098834128245894,0.626762056173821,mordred_descriptors
963,0.5801006889242184,0.6229199788023317,mordred_descriptors
964,0.6139109697933227,0.6165871754107048,mordred_descriptors
965,0.6093799682034976,0.6224695283518813,mordred_descriptors
966,0.5828033916269211,0.6118706942236354,mordred_descriptors
967,0.6054848966613673,0.608876523582406,mordred_descriptors
968,0.6147853736089031,0.6169846316905141,mordred_descriptors
969,0.5839957604663487,0.6067302596714361,mordred_descriptors
970,0.6108903020667726,0.6214891361950187,mordred_descriptors
971,0.6250927397986221,0.6187334393216746,mordred_descriptors
972,0.5968733439321675,0.616852146263911,mordred_descriptors
973,0.5839957604663487,0.6076311605723371,mordred_descriptors
974,0.5951775304716481,0.6124006359300477,mordred_descriptors
975,0.5811075781664017,0.6233969263381028,mordred_descriptors
976,0.5780869104398516,0.6088500264970853,mordred_descriptors
977,0.6025967143614203,0.6128775834658188,mordred_descriptors
978,0.6071807101218866,0.612241653418124,mordred_descriptors
979,0.5946740858505565,0.617329093799682,mordred_descriptors
980,0.5992050874403816,0.6151033386327504,mordred_descriptors
981,0.6022787493375729,0.6172760996290408,mordred_descriptors
982,0.5665871754107048,0.6083200847906731,mordred_descriptors
983,0.6093799682034976,0.6180445151033387,mordred_descriptors
984,0.5929782723900371,0.6042925278219395,mordred_descriptors
985,0.5873873873873874,0.6147058823529412,mordred_descriptors
986,0.6179915209326974,0.6190779014308426,mordred_descriptors
987,0.5932962374138845,0.6151563328033917,mordred_descriptors
988,0.5981981981981982,0.6148383677795441,mordred_descriptors
989,0.6022787493375729,0.6223105458399576,mordred_descriptors
990,0.6326974032856386,0.6057498675145734,mordred_descriptors
