Sample_Counts,Accuracy_Scores,AUC_Scores,featurespace
860,0.5946210916799153,0.6438791732909379,morgan_fingerprint
861,0.6125331213566507,0.651987281399046,morgan_fingerprint
862,0.6152358240593534,0.6449920508744039,morgan_fingerprint
863,0.6108373078961314,0.6456809750927398,morgan_fingerprint
864,0.6027291997880233,0.6546369899311076,morgan_fingerprint
865,0.6284313725490196,0.6458399576046635,morgan_fingerprint
866,0.6125331213566507,0.6626391096979333,morgan_fingerprint
867,0.609830418653948,0.6614732379438262,morgan_fingerprint
868,0.6208267090620032,0.6507684154742978,morgan_fingerprint
869,0.6149178590355061,0.64870164281929,morgan_fingerprint
870,0.608320084790673,0.6399046104928457,morgan_fingerprint
871,0.606809750927398,0.6477477477477478,morgan_fingerprint
872,0.6196343402225755,0.656809750927398,morgan_fingerprint
873,0.6024112347641759,0.64827768945416,morgan_fingerprint
874,0.5970058293587706,0.6484366719660837,morgan_fingerprint
875,0.6243508214096449,0.6328033916269211,morgan_fingerprint
876,0.630127186009539,0.6517753047164813,morgan_fingerprint
877,0.597323794382618,0.6602543720190779,morgan_fingerprint
878,0.6022257551669317,0.6595124536301007,morgan_fingerprint
879,0.609830418653948,0.6606783253842078,morgan_fingerprint
880,0.6093269740328564,0.6596184419713831,morgan_fingerprint
881,0.6122151563328033,0.6471648118706942,morgan_fingerprint
882,0.6201377848436671,0.6636989931107579,morgan_fingerprint
883,0.6014043455219926,0.6503974562798092,morgan_fingerprint
884,0.6142289348171701,0.6561738208797033,morgan_fingerprint
885,0.6142289348171701,0.6595124536301006,morgan_fingerprint
886,0.5963169051404346,0.6560148383677796,morgan_fingerprint
887,0.6034181240063593,0.6401165871754106,morgan_fingerprint
888,0.607631160572337,0.6385267620561738,morgan_fingerprint
889,0.6059353471118176,0.6360890302066772,morgan_fingerprint
890,0.6186274509803922,0.6562798092209856,morgan_fingerprint
891,0.6164281928987811,0.6578696343402226,morgan_fingerprint
892,0.6262321144674086,0.6561738208797031,morgan_fingerprint
893,0.6164281928987811,0.6602013778484367,morgan_fingerprint
894,0.6235294117647059,0.660042395336513,morgan_fingerprint
895,0.5905935347111817,0.6477477477477477,morgan_fingerprint
896,0.6154213036565979,0.6558028616852146,morgan_fingerprint
897,0.6137254901960785,0.6522522522522523,morgan_fingerprint
898,0.6213301536830949,0.6564917859035506,morgan_fingerprint
899,0.6289348171701112,0.6577106518282988,morgan_fingerprint
900,0.6230259671436142,0.6552729199788023,morgan_fingerprint
901,0.6149178590355061,0.655643879173291,morgan_fingerprint
902,0.6058028616852147,0.649655537890832,morgan_fingerprint
903,0.6024112347641759,0.6549549549549549,morgan_fingerprint
904,0.606809750927398,0.6490726020137786,morgan_fingerprint
905,0.6024112347641759,0.6446210916799152,morgan_fingerprint
906,0.609830418653948,0.6268680445151034,morgan_fingerprint
907,0.6100158982511924,0.6529411764705881,morgan_fingerprint
908,0.607498675145734,0.643190249072602,morgan_fingerprint
909,0.6134075251722311,0.6553789083200848,morgan_fingerprint
910,0.5981981981981982,0.6441441441441441,morgan_fingerprint
911,0.6198198198198198,0.6527291997880234,morgan_fingerprint
912,0.6149178590355061,0.6550079491255961,morgan_fingerprint
913,0.6003974562798092,0.6437731849496555,morgan_fingerprint
914,0.6003974562798092,0.6369899311075782,morgan_fingerprint
915,0.588579756226815,0.6375198728139905,morgan_fingerprint
916,0.6183094859565448,0.6482776894541601,morgan_fingerprint
917,0.6142289348171701,0.6356120826709062,morgan_fingerprint
918,0.5975092739798622,0.644780074191839,morgan_fingerprint
919,0.6093269740328564,0.6273979862215157,morgan_fingerprint
920,0.609697933227345,0.6426603073661896,morgan_fingerprint
921,0.6188129305776364,0.6563857975622682,morgan_fingerprint
922,0.6015898251192369,0.6417594064652887,morgan_fingerprint
923,0.5817965023847377,0.6261791202967674,morgan_fingerprint
924,0.6069952305246423,0.6432432432432432,morgan_fingerprint
925,0.5921038685744568,0.6391626921038687,morgan_fingerprint
926,0.5993905670376258,0.6374668786433493,morgan_fingerprint
927,0.6091944886062532,0.6479597244303127,morgan_fingerprint
928,0.6222045574986752,0.6543190249072603,morgan_fingerprint
929,0.5966878643349232,0.6445151033386327,morgan_fingerprint
930,0.6069952305246423,0.6508744038155804,morgan_fingerprint
931,0.6183094859565448,0.6547959724430313,morgan_fingerprint
932,0.6203232644409116,0.6429252782193959,morgan_fingerprint
933,0.5890832008479068,0.6462639109697933,morgan_fingerprint
934,0.6178060413354531,0.6511393746687865,morgan_fingerprint
935,0.6015898251192369,0.6583465818759937,morgan_fingerprint
936,0.5998940116587175,0.6428722840487546,morgan_fingerprint
937,0.6173025967143615,0.6519342872284049,morgan_fingerprint
938,0.6102013778484366,0.6506624271330155,morgan_fingerprint
939,0.5981981981981982,0.6374668786433494,morgan_fingerprint
940,0.5961844197138315,0.6441971383147854,morgan_fingerprint
941,0.6129040805511394,0.6546369899311076,morgan_fingerprint
942,0.6047959724430312,0.6550079491255962,morgan_fingerprint
943,0.6047959724430312,0.6523582405935346,morgan_fingerprint
944,0.6020932697403285,0.6481187069422363,morgan_fingerprint
945,0.6107048224695284,0.6434022257551669,morgan_fingerprint
946,0.5976947535771066,0.6485426603073662,morgan_fingerprint
947,0.6020932697403285,0.6517753047164812,morgan_fingerprint
948,0.5944886062533121,0.639480657127716,morgan_fingerprint
949,0.5917859035506094,0.6511923688394275,morgan_fingerprint
950,0.6047959724430312,0.6506094329623742,morgan_fingerprint
951,0.609697933227345,0.6538950715421304,morgan_fingerprint
952,0.6091944886062532,0.6484366719660837,morgan_fingerprint
953,0.5968733439321675,0.6483306836248014,morgan_fingerprint
954,0.60818759936407,0.6399576046634871,morgan_fingerprint
955,0.58706942236354,0.6394276629570748,morgan_fingerprint
956,0.5770800211976683,0.6344462109167992,morgan_fingerprint
957,0.5993905670376258,0.6477477477477477,morgan_fingerprint
958,0.611897191308956,0.6454160042395338,morgan_fingerprint
959,0.6091944886062532,0.6500794912559619,morgan_fingerprint
960,0.5814785373608904,0.6325914149443561,morgan_fingerprint
961,0.6052994170641229,0.6330153683094859,morgan_fingerprint
962,0.6069952305246423,0.6306836248012718,morgan_fingerprint
963,0.5971913089560148,0.6394276629570748,morgan_fingerprint
964,0.5963698993110758,0.6428192898781134,morgan_fingerprint
965,0.6071807101218866,0.645945945945946,morgan_fingerprint
966,0.6189984101748808,0.6501324854266032,morgan_fingerprint
967,0.6108903020667726,0.6477477477477477,morgan_fingerprint
968,0.6281134075251722,0.6395866454689985,morgan_fingerprint
969,0.6167991520932697,0.6527291997880234,morgan_fingerprint
970,0.614096449390567,0.6481187069422364,morgan_fingerprint
971,0.5985691573926868,0.652411234764176,morgan_fingerprint
972,0.6211976682564918,0.6508744038155804,morgan_fingerprint
973,0.6047959724430312,0.6304716481187069,morgan_fingerprint
974,0.5917859035506094,0.6379968203497616,morgan_fingerprint
