Sample_Counts,Accuracy_Scores,AUC_Scores,featurespace
860,0.5496389891696751,0.4765342960288809,mordred_descriptors
861,0.5063176895306859,0.44097472924187725,mordred_descriptors
862,0.5104693140794224,0.46353790613718415,mordred_descriptors
863,0.5640794223826715,0.4592057761732852,mordred_descriptors
864,0.5640794223826715,0.468231046931408,mordred_descriptors
865,0.5622743682310469,0.467870036101083,mordred_descriptors
866,0.4990974729241877,0.47509025270758126,mordred_descriptors
867,0.5045126353790614,0.467870036101083,mordred_descriptors
868,0.5351985559566788,0.47509025270758126,mordred_descriptors
869,0.5063176895306859,0.4606498194945848,mordred_descriptors
870,0.4870036101083033,0.46642599277978336,mordred_descriptors
871,0.4870036101083033,0.47075812274368223,mordred_descriptors
872,0.4924187725631769,0.47400722021660646,mordred_descriptors
873,0.5545126353790614,0.4884476534296029,mordred_descriptors
874,0.5424187725631768,0.48158844765342956,mordred_descriptors
875,0.5785198555956679,0.5014440433212997,mordred_descriptors
876,0.5676895306859207,0.45884476534296026,mordred_descriptors
877,0.5490974729241878,0.4978339350180506,mordred_descriptors
878,0.5454873646209386,0.49169675090252707,mordred_descriptors
879,0.5563176895306858,0.4949458483754513,mordred_descriptors
880,0.5581227436823104,0.48880866425992775,mordred_descriptors
881,0.5388086642599278,0.45812274368231043,mordred_descriptors
882,0.5442238267148014,0.46101083032490975,mordred_descriptors
883,0.5351985559566788,0.4700361010830325,mordred_descriptors
884,0.5640794223826715,0.5101083032490974,mordred_descriptors
885,0.5563176895306858,0.47148014440433206,mordred_descriptors
886,0.5509025270758123,0.4790613718411552,mordred_descriptors
887,0.5604693140794224,0.4498194945848375,mordred_descriptors
888,0.5081227436823105,0.47256317689530686,mordred_descriptors
889,0.5658844765342961,0.4797833935018051,mordred_descriptors
890,0.4731046931407942,0.45595667870036105,mordred_descriptors
891,0.5424187725631768,0.4754512635379061,mordred_descriptors
892,0.5009025270758123,0.4736462093862816,mordred_descriptors
893,0.4924187725631769,0.4685920577617329,mordred_descriptors
894,0.46949458483754514,0.4516245487364621,mordred_descriptors
895,0.5604693140794224,0.46462093862815884,mordred_descriptors
896,0.5731046931407942,0.49314079422382673,mordred_descriptors
897,0.49783393501805057,0.4830324909747292,mordred_descriptors
898,0.4996389891696751,0.4628158844765342,mordred_descriptors
899,0.5014440433212997,0.47906137184115516,mordred_descriptors
900,0.496028880866426,0.4750902527075812,mordred_descriptors
901,0.4942238267148015,0.46823104693140793,mordred_descriptors
902,0.5063176895306859,0.48194945848375453,mordred_descriptors
903,0.4906137184115524,0.464259927797834,mordred_descriptors
904,0.4996389891696751,0.4696750902527076,mordred_descriptors
905,0.47490974729241875,0.4389891696750903,mordred_descriptors
906,0.4942238267148015,0.47653429602888087,mordred_descriptors
907,0.5135379061371841,0.468231046931408,mordred_descriptors
908,0.5050541516245488,0.4646209386281589,mordred_descriptors
909,0.5731046931407942,0.4953068592057761,mordred_descriptors
910,0.5212996389891698,0.45812274368231043,mordred_descriptors
911,0.5050541516245488,0.467870036101083,mordred_descriptors
912,0.5032490974729242,0.4631768953068592,mordred_descriptors
913,0.4712996389891697,0.4541516245487364,mordred_descriptors
914,0.5014440433212997,0.4584837545126353,mordred_descriptors
915,0.5514440433212997,0.47111913357400725,mordred_descriptors
916,0.5490974729241878,0.47472924187725635,mordred_descriptors
917,0.5532490974729242,0.4783393501805054,mordred_descriptors
918,0.49783393501805057,0.4787003610108303,mordred_descriptors
919,0.4906137184115524,0.4653429602888086,mordred_descriptors
920,0.4785198555956679,0.47292418772563183,mordred_descriptors
921,0.4996389891696751,0.4703971119133574,mordred_descriptors
922,0.5135379061371841,0.463898916967509,mordred_descriptors
923,0.47490974729241875,0.44548736462093863,mordred_descriptors
924,0.5514440433212997,0.4635379061371841,mordred_descriptors
925,0.5496389891696751,0.47581227436823104,mordred_descriptors
926,0.5099277978339349,0.4667870036101083,mordred_descriptors
927,0.5099277978339349,0.48411552346570397,mordred_descriptors
928,0.5212996389891698,0.4714801444043321,mordred_descriptors
929,0.5135379061371841,0.4743682310469314,mordred_descriptors
930,0.5333935018050542,0.4566787003610108,mordred_descriptors
931,0.5117328519855595,0.46696750902527073,mordred_descriptors
932,0.5009025270758123,0.4700361010830325,mordred_descriptors
933,0.5045126353790614,0.47509025270758126,mordred_descriptors
934,0.5117328519855595,0.4548736462093863,mordred_descriptors
935,0.5424187725631768,0.4758122743682311,mordred_descriptors
936,0.5207581227436824,0.43411552346570403,mordred_descriptors
937,0.5532490974729242,0.4584837545126354,mordred_descriptors
938,0.5117328519855595,0.4568592057761733,mordred_descriptors
939,0.5081227436823105,0.47364620938628166,mordred_descriptors
940,0.5009025270758123,0.46101083032490975,mordred_descriptors
941,0.5496389891696751,0.4696750902527076,mordred_descriptors
942,0.5027075812274369,0.467870036101083,mordred_descriptors
943,0.5550541516245487,0.4657039711191336,mordred_descriptors
944,0.5231046931407942,0.4397111913357401,mordred_descriptors
945,0.5135379061371841,0.4523465703971119,mordred_descriptors
946,0.4906137184115524,0.45180505415162453,mordred_descriptors
947,0.5478339350180506,0.46606498194945845,mordred_descriptors
948,0.496028880866426,0.4545126353790614,mordred_descriptors
949,0.5153429602888087,0.47490974729241875,mordred_descriptors
950,0.5063176895306859,0.47075812274368234,mordred_descriptors
951,0.5063176895306859,0.4523465703971119,mordred_descriptors
952,0.5285198555956678,0.4884476534296029,mordred_descriptors
953,0.5045126353790614,0.4574007220216607,mordred_descriptors
954,0.5063176895306859,0.4570397111913357,mordred_descriptors
955,0.5117328519855595,0.4617328519855596,mordred_descriptors
956,0.5189530685920578,0.4675090252707581,mordred_descriptors
957,0.5171480144404332,0.47075812274368234,mordred_descriptors
958,0.5514440433212997,0.47653429602888087,mordred_descriptors
959,0.5153429602888087,0.4534296028880866,mordred_descriptors
960,0.546028880866426,0.472202166064982,mordred_descriptors
961,0.5442238267148014,0.47906137184115516,mordred_descriptors
962,0.5135379061371841,0.4664259927797834,mordred_descriptors
963,0.5586642599277978,0.4635379061371841,mordred_descriptors
964,0.5068592057761733,0.4819494584837546,mordred_descriptors
965,0.5442238267148014,0.4823104693140794,mordred_descriptors
966,0.5068592057761733,0.49097472924187724,mordred_descriptors
967,0.5496389891696751,0.4906137184115523,mordred_descriptors
968,0.5171480144404332,0.48339350180505414,mordred_descriptors
969,0.5032490974729242,0.4826714801444043,mordred_descriptors
970,0.5532490974729242,0.4851985559566787,mordred_descriptors
971,0.5050541516245488,0.47978339350180504,mordred_descriptors
972,0.5496389891696751,0.47906137184115527,mordred_descriptors
973,0.5285198555956678,0.48122743682310476,mordred_descriptors
974,0.5081227436823105,0.4768953068592058,mordred_descriptors
975,0.5568592057761732,0.48592057761732854,mordred_descriptors
976,0.42129963898916967,0.45703971119133574,mordred_descriptors
977,0.5140794223826715,0.4826714801444043,mordred_descriptors
978,0.5514440433212997,0.49566787003610113,mordred_descriptors
979,0.5261732851985559,0.4712996389891697,mordred_descriptors
980,0.5153429602888087,0.47184115523465703,mordred_descriptors
981,0.5153429602888087,0.48014440433213,mordred_descriptors
982,0.5207581227436824,0.47906137184115527,mordred_descriptors
983,0.4924187725631769,0.45884476534296026,mordred_descriptors
984,0.5604693140794224,0.4703971119133574,mordred_descriptors
985,0.5586642599277978,0.47111913357400725,mordred_descriptors
986,0.5225631768953068,0.4649819494584837,mordred_descriptors
987,0.5478339350180506,0.46317689530685924,mordred_descriptors
988,0.5604693140794224,0.4566787003610109,mordred_descriptors
989,0.5532490974729242,0.4527075812274368,mordred_descriptors
990,0.5749097472924187,0.47725631768953075,mordred_descriptors
